cifar10,img_name,caption
airplane,2095_airplane.png,"The image features a large jetliner flying through the sky.Ъ. The airplane is positioned in the middle of the scene, with its wings spread out, showcasing its impressive size. The jetliner appears to be flying high above the clouds, creating a sense of motion and adventure. The scene captures the beauty and power of modern aviation."
airplane,2109_airplane.png,"The image features a large white airplane parked on a runway. (or tarmac) at an airport. The airplane is positioned in the middle of the scene, with its wings visible. The airplane appears to be a commercial jet, possibly a jumbo jet, as it occupies a significant portion of the image. The runway extends from the left edge of the image to the right, providing ample space for the airplane to take off or land."
airplane,2113_airplane.png,"The image features a large blue and white airplane on a runway.  The airplane is positioned in the middle of the scene, with its wings visible. The plane appears to be in the process of taking off or landing, as it is situated on the runway. The sky above the airplane is cloudy, adding to the atmosphere of the scene."
airplane,2124_airplane.png,"The image features a small model airplane sitting on a blue surface, possibly a table or a counter. (the background is blue). The airplane is positioned in the center of the scene, and it appears to be a toy or a model of a real aircraft. The model is made of metal, giving it a shiny appearance. The blue background provides a contrasting and visually appealing backdrop for the airplane."
airplane,2249_airplane.png,"The image features a large white airplane with a red tail, sitting on a runway.  The airplane is positioned in the middle of the scene, with its wings extending from the left to the right side. The tail of the plane is prominently visible, adding a striking contrast to the white body of the aircraft. The runway appears to be relatively empty, with no other airplanes or vehicles visible in the image."
airplane,237_airplane.png,"The image features a large white vase sitting on top of a pile of books.  The vase is positioned in the center of the scene, with the books surrounding it. The books are stacked in various orientations, creating a visually interesting arrangement. Some books are placed closer to the vase, while others are positioned further away, creating a sense of depth in the scene. The combination of the vase and the books creates an artistic and intriguing composition."
airplane,2388_airplane.png,"The image features a large jetliner flying through the sky.Ъ. The airplane is positioned in the middle of the scene, with its wings visible. The sky is a deep blue, creating a beautiful backdrop for the airplane. The jetliner appears to be flying smoothly, showcasing its impressive size and design."
airplane,2461_airplane.png,"The image features a large bird flying high in the sky.Ъ. The bird is positioned towards the left side of the frame, with its wings spread wide. The sky is clear and blue, providing a perfect backdrop for the bird's flight."
airplane,2614_airplane.png,"The image features a small airplane flying high in the sky.Ъ. The airplane is positioned towards the center of the scene, with its wings visible as it soars through the air. The sky is a clear blue, providing a perfect backdrop for the airplane's flight."
airplane,27_airplane.png,"The image features a green airplane with a propeller, likely a fighter plane, sitting on a white background.  The airplane is positioned in the center of the image, with its wings spread out. The propeller is clearly visible, and the plane appears to be in a ready-to-fly state. The green color of the airplane gives it a unique and eye-catching appearance."
airplane,284_airplane.png,"The image features a large airplane parked on a runway. (or possibly a parking lot) in a city. The airplane is positioned in the middle of the scene, with its wings visible. The sky above the airplane appears to be cloudy, adding to the overall atmosphere of the scene.  In the background, there are a few cars and a truck, indicating that the airplane is located in an urban environment. The presence of these vehicles suggests that the airplane may be parked near a transportation hub or a busy area within the city."
airplane,287_airplane.png,"The image features a large blue and red airplane flying high in the sky. (possibly a jumbo jet) with a mountain range in the background. The airplane is positioned towards the left side of the image, while the mountain range stretches across the right side. The scene captures the impressive size of the airplane and the breathtaking landscape below."
airplane,2951_airplane.png,"The image features a small model airplane sitting on a white surface, possibly a table or a white background.  The airplane is positioned in the center of the scene, with its wings spread out. The model is quite detailed, showcasing the intricate design and craftsmanship that went into creating it. The overall appearance of the model airplane is impressive and captures the essence of a real aircraft."
airplane,3171_airplane.png,"The image features a red and white helicopter parked on a grassy field.  The helicopter is positioned in the center of the scene, with its nose pointing towards the left side of the image. The helicopter appears to be a small, single-engine aircraft, and it is the main focus of the scene. The grassy field provides a natural and open environment for the helicopter to be parked."
airplane,3191_airplane.png,"The image features a yellow and white helicopter parked on a grassy field.  The helicopter is positioned in the middle of the scene, with its nose pointing towards the left side of the image. The grassy field extends across the entire background, creating a serene and natural setting for the helicopter."
airplane,3211_airplane.png,"The image features a group of people on a boat in the water. (possibly a river or lake). There are at least five people visible on the boat, with some standing closer to the front and others near the back. The boat appears to be a canoe, and it is surrounded by a beautiful landscape. The scene captures a moment of leisure and enjoyment as the group spends time together on the water."
airplane,3294_airplane.png,"The image features a large airplane flying high in the sky.Ъ. The airplane is positioned in the middle of the scene, with its wings spread out, showcasing its impressive size. The sky is clear and blue, providing a perfect backdrop for the airplane's flight."
airplane,3536_airplane.png,"The image features a black and white photo of a small airplane flying in the sky. (or possibly on the ground). The airplane is positioned towards the left side of the image, with its wings visible. The photo captures the essence of the airplane's motion, creating a sense of depth and dimension."
airplane,3548_airplane.png,"The image features a large, black fighter jet parked on a runway.  The jet is positioned in the middle of the scene, with its wings spread out. The jet's nose is pointed upwards, and its tail is visible at the far right side of the image. The runway extends from the left edge of the image to the right, providing a clear view of the jet's impressive size and design."
airplane,3823_airplane.png,"The image features a small airplane with a blue and yellow color scheme. (possibly a blue and white one) sitting on a white background. The airplane is positioned in the center of the image, occupying a significant portion of the frame. The plane appears to be a small propeller plane, possibly a single-engine aircraft."
airplane,3866_airplane.png,"The image features a large, dark airplane flying high in the sky.Ъ. The airplane is shaped like a triangle and appears to be a stealth bomber. It is flying against a blue sky, which provides a contrasting backdrop to the aircraft. The plane's position in the sky suggests that it is either ascending or descending, capturing the viewer's attention as it soars through the air."
airplane,3897_airplane.png,"The image features a white truck parked in a grassy field.  The truck is positioned in the middle of the scene, with its front facing the viewer. The back of the truck is visible, and it appears to be a large vehicle. The grassy field extends to the right side of the truck, creating a sense of openness."
airplane,3965_airplane.png,"The image features a small model airplane sitting on a white surface, possibly a table or a counter. (the background is blurry, making it difficult to determine the exact location). The airplane is positioned in the center of the scene, and it appears to be a toy or a model. The model airplane is the main focus of the image, and it is the only object in the scene."
airplane,406_airplane.png,"The image features a large airplane flying high in the sky.Ъе. The airplane is positioned towards the left side of the image, with its wings spread wide. The sky is a clear blue, providing a perfect backdrop for the airplane's flight."
airplane,4187_airplane.png,"The image features a fighter jet flying high in the sky.Ъ. The jet is positioned in the middle of the scene, with its wings spread out, showcasing its impressive size and design. The sky is clear and blue, providing a perfect backdrop for the jet's flight."
airplane,4202_airplane.png,"The image features a toy airplane, possibly a model or a toy, lying on the ground.  The airplane is positioned in the center of the scene, with its wings spread out. The toy appears to be a fighter jet, and it is placed on a surface that could be a carpet or a similar material. The toy airplane is the main focus of the image, and it is displayed in a way that highlights its design and features."
airplane,4226_airplane.png,"The image features a large white airplane flying high in the sky.Ъ. The airplane is positioned in the middle of the scene, with its wings visible as it soars through the air. The sky is clear and blue, providing a perfect backdrop for the airplane's flight."
airplane,4349_airplane.png,"The image features a large white airplane flying through the sky.Ъ. The airplane is positioned in the middle of the scene, with its wings visible as it soars through the air. The sky appears to be a deep blue, creating a striking contrast with the white airplane. The scene captures the essence of air travel and the marvel of modern aviation."
airplane,4373_airplane.png,"The image features a large airplane flying high in the sky, with its wings spread out.  The airplane is positioned in the center of the scene, and its wings are visible from the left side to the right side of the image. The sky is clear and blue, providing a perfect backdrop for the airplane's flight. The airplane appears to be ascending into the sky, creating a sense of motion and adventure."
airplane,4447_airplane.png,"The image features a large white airplane with its wings spread out, sitting on a body of water. (possibly the ocean). The airplane is positioned in the center of the scene, and its wings extend from the left to the right side of the image. The water appears to be calm, providing a serene backdrop for the airplane."
airplane,4510_airplane.png,"The image features a small model of a fighter jet, which is placed on a blue background.  The model airplane is positioned in the center of the image, with its wings spread out. The jet appears to be a toy or a model, showcasing its design and structure. The blue background provides a contrasting and visually appealing backdrop for the model airplane."
airplane,473_airplane.png,"The image features a large airplane flying through a cloudy sky. (or possibly a green screen). The airplane is positioned in the middle of the scene, with its wings visible. The sky appears to be a mix of clouds and open space, creating a somewhat dramatic atmosphere. The airplane's presence in the sky adds a sense of motion and adventure to the scene."
airplane,4854_airplane.png,"The image features a large passenger jet flying high in the sky.Ъ. The airplane is positioned in the middle of the scene, with its wings spread out, showcasing its impressive size. The sky is clear and blue, providing a perfect backdrop for the airplane's flight."
airplane,4868_airplane.png,"The image features a white model airplane with a green, red, and white tail.  The airplane is positioned in the center of the scene, and its tail is prominently displayed. The model airplane appears to be a fighter jet, and its design is quite unique. The tail of the airplane is adorned with a colorful pattern, adding a touch of visual interest to the overall appearance of the model."
airplane,4909_airplane.png,"The image features a person wearing a blue shirt, with a hood on their head.  The person is standing in front of a large, blurry background, which appears to be a foggy sky. The person's face is partially obscured by the hood, and their arms are raised, possibly in a defensive or protective manner. The overall atmosphere of the image is somewhat mysterious and intriguing."
airplane,5036_airplane.png,"The image features a large airplane flying through a blue sky. (or a cloudy sky, depending on the perspective). The airplane is positioned in the middle of the scene, with its wings visible as it soars through the air. The sky appears to be clear, making it an ideal day for flying. The airplane's presence in the sky adds a sense of motion and adventure to the scene."
airplane,5189_airplane.png,"The image features a small airplane flying high in the sky.Ъе. The airplane is positioned towards the center of the scene, with its wings visible as it soars through the air. The sky appears to be cloudy, adding a sense of depth to the scene. The airplane's presence in the sky creates a sense of adventure and freedom, as it travels through the vast expanse of the atmosphere."
airplane,5225_airplane.png,"The image features a small white airplane flying in the sky. (possibly a Cessna) with its landing gear down. The airplane is positioned in the middle of the scene, and its wings are visible. The sky appears to be cloudy, adding to the overall atmosphere of the image."
airplane,5253_airplane.png,"The image features a large black airplane parked on a runway.  The airplane is positioned in the middle of the scene, with its wings extending from the left to the right side. The plane appears to be a fighter jet, and its size and presence dominate the image. The runway is the main focus of the scene, with the airplane being the central point of interest."
airplane,5255_airplane.png,"The image features a white and blue model airplane, possibly a toy or a model, lying on the ground.  The airplane is positioned in the center of the scene, with its wings spread out. The wings are blue and white, and the body of the airplane is predominantly white. The model airplane appears to be a small, intricate replica of a real aircraft, showcasing its design and craftsmanship."
airplane,5339_airplane.png,"The image features a large, odd-shaped structure that resembles a boat or a spacecraft.  The structure is positioned on a dirt surface, and it appears to be a part of a larger scene. The boat-like structure is the main focus of the image, and it is surrounded by a few other smaller objects, including a car and a truck. The car is located on the left side of the scene, while the truck is situated on the right side."
airplane,5571_airplane.png,"The image features a large, old-fashioned biplane parked on a grassy field.  The biplane has a red and white color scheme, and it appears to be a vintage aircraft. The plane is positioned in the middle of the field, with its wings spread out. There are two birds visible in the scene, one near the left side of the biplane and the other closer to the right side.  In the background, there are two cars parked, one on the left side and the other on the right side of the field."
airplane,560_airplane.png,"The image features a large white airplane flying high in the sky.Ъ. The airplane is positioned in the middle of the scene, with its wings spread out. The sky is clear and blue, providing a perfect backdrop for the airplane's flight."
airplane,5809_airplane.png,"The image features a close-up of a hand holding a remote control. (or possibly a cell phone) in front of a blue background. The remote control is positioned towards the left side of the image, while the hand is located towards the top left corner. The blue background provides a contrasting backdrop for the remote control and the hand."
airplane,584_airplane.png,"The image features a large passenger jet flying high in the sky.Ъе. The airplane is positioned in the middle of the scene, with its wings spread out, showcasing its impressive size. The sky is a deep blue, and the airplane appears to be ascending into the clouds. The scene captures the beauty of the airplane soaring through the sky, creating a sense of freedom and adventure."
airplane,5951_airplane.png,"The image features a small airplane flying high in the sky.Ъе. The airplane is positioned towards the left side of the image, and it appears to be a biplane with two sets of wings. The sky is clear and blue, providing a perfect backdrop for the airplane's flight."
airplane,6003_airplane.png,"The image features a large, three-dimensional, metallic triangle with a blue hue.  The triangle is composed of three distinct sections, each with a slightly different shade of blue. The first section is on the left side, the second section is in the middle, and the third section is on the right side. The triangle's shape and the blue color create a visually striking and unique design."
airplane,6105_airplane.png,"The image features a jet flying high in the sky.Ъе. The jet is positioned in the middle of the scene, with its wings spread out. The sky is clear and blue, providing a perfect backdrop for the jet's flight. The jet appears to be a fighter jet, as it is flying at a high altitude and is not obstructed by any clouds or other objects."
airplane,6222_airplane.png,"The image features a large airplane with its wings spread out, showcasing the plane's impressive size.  The airplane is positioned in the center of the image, with its wings extending outwards. The wings are visible on both sides of the plane, creating a sense of depth and dimension. The airplane's wings are the main focus of the image, highlighting the aircraft's impressive design and engineering."
airplane,6247_airplane.png,"The image features a small black airplane parked on a runway.  The airplane is positioned in the middle of the scene, with its nose pointing towards the left side of the image. The runway appears to be a mix of grass and pavement, providing a unique setting for the aircraft. The airplane's presence on the runway suggests that it might be preparing for takeoff or has recently landed."
airplane,6294_airplane.png,"The image features a large, sleek, and modern-looking jet flying through the sky. (or possibly a cloudy sky). The jet is positioned in the middle of the scene, with its wings spread out, showcasing its impressive design. The jet's shape and size make it stand out against the backdrop of the sky."
airplane,642_airplane.png,"The image features a large, dark airplane flying high in the sky.  The airplane is positioned towards the left side of the image, with its wings spread wide. The sky is filled with clouds, creating a dramatic backdrop for the airplane. The scene captures the essence of a powerful and majestic aircraft soaring through the air."
airplane,6481_airplane.png,"The image features a close-up of a white airplane wing, which appears to be a model or a toy.  The wing is positioned in the center of the image, with a black triangle shape on the bottom right corner. The wing is slightly tilted, giving it a dynamic appearance. The overall scene is a detailed and intricate representation of an airplane wing."
airplane,6548_airplane.png,"The image features a large white airplane parked on a runway. (or tarmac) at an airport. The airplane is positioned in the middle of the scene, with its wings extending outwards. The airplane appears to be a large passenger jet, possibly a commercial airliner.  The runway is surrounded by a grassy area, which adds to the overall atmosphere of the scene. The airplane is the main focus of the image, and it appears to be ready for takeoff or has just landed."
airplane,6549_airplane.png,"The image features a bird flying high in the sky, with its wings spread wide.  The bird is positioned towards the left side of the image, and its wings are visible as it soars through the air. The sky appears to be cloudy, adding a dramatic backdrop to the scene. The bird's silhouette stands out against the cloudy sky, creating a striking visual effect."
airplane,6650_airplane.png,"The image features a large white airplane parked on a runway. (or tarmac) at an airport. The airplane is positioned in the middle of the scene, with its wings visible. The airplane appears to be a commercial jet, possibly a passenger plane.  In the background, there are trees and a blue sky, creating a pleasant atmosphere. The scene captures the essence of an airport, with the airplane as the main focus."
airplane,6653_airplane.png,"The image features a large airplane with a blue tail wing, sitting on a runway.  The airplane is positioned in the middle of the scene, with the tail wing extending from the back of the plane. The runway appears to be relatively empty, with no other airplanes or vehicles visible in the image. The focus is on the airplane and its distinctive blue tail wing, creating a sense of depth and perspective in the scene."
airplane,6663_airplane.png,"The image features a small green airplane parked on a runway.  The airplane is positioned in the center of the scene, with its wings visible. The plane appears to be a single-engine aircraft, and it is surrounded by a grassy area. The runway extends from the left edge of the image to the right, providing a clear view of the airplane's position on the tarmac."
airplane,6696_airplane.png,"The image features a fighter jet flying high in the sky.Ъ. The jet is positioned in the middle of the scene, with its wings spread out, showcasing its impressive size and design. The jet appears to be flying over a desert landscape, adding a sense of depth and scale to the scene."
airplane,6738_airplane.png,"The image features a small airplane flying high in the sky.Ъе. The airplane is positioned towards the left side of the image, and it appears to be flying through a clear blue sky. The sky is filled with clouds, creating a picturesque backdrop for the airplane's journey."
airplane,675_airplane.png,"The image features a small, golden airplane sitting on a cloudy blue sky.  The airplane is positioned in the center of the scene, with its wings spread out. The sky is filled with clouds, creating a picturesque backdrop for the airplane. The scene captures the essence of a small aircraft flying through the sky, evoking a sense of adventure and freedom."
airplane,6797_airplane.png,"The image features a large jet flying through a cloudy sky..Ъ. The jet is positioned in the middle of the scene, with its wings spread out, creating a striking silhouette against the backdrop of the clouds. The jet appears to be flying at a high altitude, as it is surrounded by a vast expanse of cloudy skies."
airplane,6799_airplane.png,"The image features a large white airplane parked on a runway.  The airplane is positioned in the center of the scene, with its wings spread out. The plane appears to be a large passenger jet, possibly a commercial airliner. The runway extends from the left edge of the image to the right, providing a clear view of the airplane's size and structure."
airplane,6864_airplane.png,"The image features a red airplane with a white cow on the tail.  The airplane is flying in the sky, and the cow is positioned on the tail of the plane. The cow appears to be looking back, possibly observing the plane's movement. The scene is set against a blue sky, creating a vibrant and dynamic atmosphere."
airplane,6884_airplane.png,"The image features a large airplane parked on a runway. (or tarmac) at an airport. The airplane is positioned in the middle of the scene, with its wings extending from the left to the right side. The airplane appears to be a commercial jet, possibly a passenger plane. The sky above the airplane is clear and blue, providing a beautiful backdrop for the scene."
airplane,6949_airplane.png,"The image features a large white airplane flying through a gray sky.Ъ. The airplane is prominently displayed in the scene, occupying a significant portion of the image. The sky appears to be cloudy, adding to the overall atmosphere of the scene."
airplane,6996_airplane.png,"The image features a large white airplane parked on the tarmac.  The airplane is positioned in the middle of the scene, with its wings spread out. The plane is surrounded by a few trucks, with one truck located on the left side of the airplane, another on the right side, and a third truck further back on the right side.  There are also two people visible in the scene, one standing closer to the left side of the airplane and the other near the center of the image."
airplane,7189_airplane.png,"The image features a large jet flying through a cloudy sky.Ъ. The jet is positioned in the middle of the scene, with its wings spread out, showcasing its impressive size. The sky is filled with clouds, creating a dramatic backdrop for the jet. The scene captures the power and beauty of the aircraft as it soars through the air."
airplane,7347_airplane.png,"The image features a large jet flying through the sky.Ъ. The jet is positioned in the middle of the scene, with its wings visible as it soars through the air. The sky appears to be cloudy, adding a dramatic backdrop to the scene. The jet's presence in the sky creates a sense of motion and excitement, showcasing the power and capabilities of modern aviation."
airplane,7511_airplane.png,"The image features a large white jetliner flying through a clear blue sky.Ъ. The airplane is positioned in the middle of the scene, with its wings spread out, showcasing its impressive size. The sky is a deep shade of blue, providing a perfect backdrop for the airplane's flight."
airplane,7737_airplane.png,"The image features a large blue airplane with a distinctive red and blue tail.  The airplane is positioned in the middle of the scene, with its wings extending from the left to the right side. The tail of the plane is adorned with a red and blue Pepsi logo, making it stand out. The airplane appears to be flying through a blue sky, giving the impression of a clear and sunny day."
airplane,7754_airplane.png,"The image features a white airplane model on a table, with its wings spread out.  In the background, there is another airplane model, which is smaller and positioned further away from the main model. The scene also includes a person standing near the edge of the image, possibly observing the models or attending to the display."
airplane,7816_airplane.png,"The image is a black and white photo of a large, dark structure.  In the foreground, there is a large, dark triangle shape, which appears to be a kite. The kite is positioned in the middle of the scene, with its edges extending towards the top and bottom of the image. The rest of the scene is filled with a variety of smaller, dark shapes, which could be part of the structure or other objects in the environment."
airplane,7877_airplane.png,"The image features a large white airplane parked on a runway. (or tarmac) at an airport. The airplane is positioned in the middle of the scene, with its nose pointing towards the left side. The airplane appears to be a large jetliner, possibly a passenger plane.  In the background, there are several cars and trucks scattered around the area, likely serving various purposes such as transportation, maintenance, or airport operations. The presence of these vehicles suggests that the airport is a busy and active location."
airplane,8047_airplane.png,"The image features a yellow and black biplane flying high in the sky.  The airplane is quite large, occupying a significant portion of the image. It has a prominent yellow color, with black accents on the wings and other parts of the plane. The biplane is flying through a clear blue sky, giving the impression of a sunny day."
airplane,8197_airplane.png,"The image features a large commercial airplane flying through a cloudy sky.Ъ. The airplane is positioned in the middle of the scene, with its wings visible as it soars through the air. The sky is filled with clouds, creating a dramatic backdrop for the airplane's journey. The scene captures the essence of air travel and the marvel of modern aviation."
airplane,8230_airplane.png,"The image features a small airplane flying through the sky.Ъ. The airplane is positioned in the middle of the scene, with its wings visible. The sky appears to be cloudy, adding a sense of depth to the image. The airplane's presence in the sky creates a sense of motion and adventure."
airplane,8476_airplane.png,"The image features a wooden plank lying on the ground, possibly in a workshop or a construction site.  There are two people in the scene, one standing closer to the left side of the image and the other person standing further to the right. The person on the left appears to be wearing a red shirt, while the person on the right is wearing a black shirt.  In addition to the wooden plank, there are two other objects in the scene: a pair of scissors and a hammer. The scissors are located near the center of the image, while the hammer is positioned towards the right side."
airplane,8554_airplane.png,"The image features a large jetliner flying through the sky..Ъеб. The airplane is captured in a close-up view, with its wings and tail visible. The jetliner is flying over a body of water, which is visible in the background. The scene is set against a backdrop of a blue sky, creating a sense of depth and dimension."
airplane,8666_airplane.png,"The image features a yellow and black object, possibly a piece of machinery or a vehicle, with a yellow front and a black back.  The object is positioned in the center of the image, and it appears to be the main focus of the scene. The background is a plain white color, which further emphasizes the object's presence."
airplane,9193_airplane.png,"The image features a large airplane flying over a body of water.Ъ. The airplane is positioned in the middle of the scene, with its wings visible. The water beneath the airplane appears to be calm, providing a serene backdrop for the aircraft. The scene captures the beauty of the airplane soaring through the sky, creating a sense of freedom and adventure."
airplane,9459_airplane.png,"The image features a large, dark airplane flying through a cloudy sky.  The airplane is positioned in the middle of the scene, with its wings spread out, giving it a distinctive appearance. The sky is filled with clouds, creating a dramatic backdrop for the aircraft. The scene captures the power and grace of the airplane as it soars through the air."
airplane,9512_airplane.png,"The image features a large airplane flying through a cloudy sky..Ъ. The airplane is positioned in the middle of the scene, with its wings visible as it soars through the air. The sky is filled with clouds, creating a dramatic backdrop for the airplane's flight."
airplane,9539_airplane.png,"The image features a large, black fighter jet flying high in the sky.Ъ. The jet is positioned in the middle of the scene, with its wings spread wide. The sky appears to be cloudy, adding a dramatic backdrop to the scene. The jet's impressive size and sleek design make it a striking sight in the sky."
airplane,9565_airplane.png,"The image features a small airplane flying high in the sky.Ъе. The airplane is positioned towards the left side of the image, and its wings are visible as it soars through the air. The sky is clear and blue, providing a perfect backdrop for the airplane's flight."
airplane,9700_airplane.png,"The image features a fighter jet flying through the sky.Ъ. The jet is positioned in the middle of the scene, with its nose pointing upwards. The jet appears to be in motion, possibly performing a maneuver or preparing for takeoff. The sky is clear, providing a perfect backdrop for the jet's flight."
automobile,1005_automobile.png,"The image features a vintage white truck parked in a grassy field.  The truck is an old-fashioned model, with a large front grill and a hood that extends over the front of the vehicle. The truck is positioned in the middle of the field, and its presence adds a nostalgic touch to the scene."
automobile,1006_automobile.png,"The image features a yellow sports car parked in a garage.  The car is positioned in the center of the scene, with its hood and front end visible. The garage has a few other vehicles, including a truck on the right side and a car on the left side. The sports car appears to be the main focus of the image, with its vibrant color and sleek design."
automobile,1098_automobile.png,"The image features a red sports car parked in a garage.  The sports car is positioned in the center of the scene, with a large garage door behind it. The garage is filled with various vehicles, including a few cars and a truck. The cars are parked in different areas of the garage, with some closer to the foreground and others further back. The truck is located towards the right side of the garage. The scene gives off a sense of a busy garage or a storage facility for vehicles."
automobile,1174_automobile.png,"The image features a white car parked in a parking lot. (or possibly a garage). The car is positioned in the center of the scene, with its hood visible. The car's front end is prominently displayed, showcasing its headlights and grille. The car appears to be a compact vehicle, possibly a hatchback or a small sedan."
automobile,1458_automobile.png,"The image features a blue car parked on a street.  In the background, there are several other cars parked or driving along the street. Some of these cars are closer to the foreground, while others are further away. The scene also includes a truck parked near the middle of the street.  The blue car is the main focus of the image, and it appears to be a classic car, possibly a convertible, given its vintage design."
automobile,1467_automobile.png,"The image features a red car parked on the side of a road.  In the background, there is a bus parked further down the street. The car is positioned close to the curb, and the bus is visible in the distance. The scene appears to be a typical urban setting with vehicles parked along the street."
automobile,1631_automobile.png,"The image features a black car driving down a street.  There are several cars parked along the street, including one on the left side of the car, one on the right side, and another further down the street. Additionally, there are two trucks parked on the right side of the street, one closer to the front and the other further back.  A person can be seen standing near the middle of the scene, possibly waiting to cross the street or observing the surroundings."
automobile,1711_automobile.png,"The image features a white car parked in a parking lot. (or driveway) with a broken headlight. The car is positioned in the middle of the scene, and the headlight is located on the right side of the vehicle.  There are several other cars in the background, with one car on the left side of the image and two cars on the right side. Additionally, there are two people visible in the scene, one near the center and the other on the right side."
automobile,1769_automobile.png,"The image features a blue car with a futuristic design, resembling a spaceship.  The car is positioned in the center of the scene, and it appears to be a single-occupancy vehicle. There are no other cars or people visible in the image. The car's unique design and color make it stand out as a prominent focal point in the scene."
automobile,1784_automobile.png,"The image features a blue van parked in a parking lot. (or possibly a garage) with other cars in the background. The blue van is the main focus of the scene, occupying a significant portion of the image. The other cars are scattered around the parking lot, with some closer to the foreground and others further in the background. The overall setting appears to be a parking area or a garage where the blue van is parked."
automobile,1930_automobile.png,"The image features a red sports car with a convertible top, parked on a street.  The car is positioned in the center of the scene, and its color stands out against the background. The convertible top is open, allowing the driver to enjoy the outdoors. The car's design and color make it an eye-catching and stylish vehicle."
automobile,1991_automobile.png,"The image features a silver car parked on a gravel road.  The car is positioned in the middle of the scene, with its hood facing the viewer. The car's front end is visible, and it appears to be a sports car. The gravel road is surrounded by trees, giving the scene a natural and serene atmosphere."
automobile,2176_automobile.png,"The image features a blue car parked on a street.  The car is a classic model, and it appears to be a convertible, with the top down. The car is parked on the side of the street, and it is the main focus of the scene. The car's color and style give it a vintage appearance, making it stand out in the image."
